PCA_HC_sub5005 ()*			EndothelialA	EndothelialB	EndothelialC	EpithelialA1	EpithelialA2	EpithelialB1	EpithelialB2	Intermediate Fibroblast 2	MatrixFibroA	MatrixFibroC	MyeloA	MyeloB	MyoFibroA	MyoFibroC	Pericyte	ProlifFibroA	ProlifFibroB
ENSMUSG00000022687	Boc	matrix fibroblast	1.183854	1.3093114	1.2382368	1	1.3546048	1	1.2377896	2.4223957	1.7485497	1.7554588	1	1.3963096	1.5415454	1.5548741	1.5162656	1.5974104	1.4819713
ENSMUSG00000054555	Adam12	matrix fibroblast	1	1.1190972	1.363958	1	1.668218	1	1.0634125	2.4328973	1.22684	2.4633822	1	1.3984605	1.3407943	1.1036706	2.247152	1.4925169	2.0834236
ENSMUSG00000005320	Fgfr4	matrix fibroblast	1.1116891	1	1.311459	1	1.1649765	1.302392	1.1194446	1.1590103	2.00281	2.3708494	1	1.2282529	1.3473431	1.4326489	1.0094153	1.4359112	1
ENSMUSG00000025491	Ifitm1	matrix fibroblast	1.1636965	1.4989175	1.8973641	1	1.5705898	1	1.2981886	1.0670602	5.414827	1.2240539	1	1.9161129	1	1.4885628	3.8275278	1.3295662	1.0636178
ENSMUSG00000038156	Spon1	matrix fibroblast	1.0350839	1.0601332	1.4165455	1	1.7959971	1	1.1143011	1.403342	6.3524394	1.902005	1	1	2.1883857	1.2869383	1.276184	1.3603704	1
ENSMUSG00000043248	AC175032.2	matrix fibroblast	1	1.3876907	1.1610881	1	1.2441481	1	1.0500485	1.5513686	2.9246337	1	1	1	2.037317	1.1753768	1	1.081661	1.4164286
ENSMUSG00000029335	Bmp3	matrix fibroblast	1	1.0624871	1	1.0811663	1.4141747	1	1	1.1530889	2.134439	1.2362489	1	1	1.0578635	1	1.0859547	1	1
ENSMUSG00000005803	Sqrdl	matrix fibroblast	1.600035	1.1751293	2.0112677	1	1	1	1.0496178	1.2727059	2.3458452	1.0108224	2.7114341	1	1.4461547	1.2132233	1	1.1729269	1
ENSMUSG00000035493	Tgfbi	myo fibroblast	1.2195894	1.6444201	1.6350675	1	1.2292421	1.6073006	1.3856378	1.0813682	1.0044624	1.2811308	3.2972467	1.97724	5.574759	8.050559	1.0778959	2.992925	1.5327916
ENSMUSG00000022122	Ednrb	myo fibroblast	1.4528556	1.4839773	1.4841862	0.3377262	0.7419618	0.3377262	0.45318508	0.61803734	0.76757514	0.4477924	0.89216197	1.460398	3.3390384	3.006039	0.557658	1.4011731	2.0226512
ENSMUSG00000057967	Fgf18	myo fibroblast	1	1.1004429	1.1253998	1	1	1	1	1	1	1	1	1	2.743204	2.1787062	1	1.374246	1
ENSMUSG00000049265	Kcnk3	myo fibroblast	1	1.4942561	1.978022	1	1.9991598	1	1.2291437	1.9765507	1.1423694	1.7124966	1	1	3.8995762	2.4469116	3.9916012	2.5575416	2.6227124
ENSMUSG00000056481	Cd248	myo fibroblast	1	1.1765485	1.563056	1	1.011337	1	1	1.3022858	1.0555018	1.1130657	1	1.5215213	2.2079134	5.8272357	3.7082567	1.989572	2.005844
ENSMUSG00000019929	Dcn	pericyte	1	1.1734632	1.2075282	1	1.3810915	1	1	1.6499627	1.1718162	1	1	1	2.5414944	1.7931015	2.2209163	1.7713608	1.3336945
ENSMUSG00000039239	Tgfb2	pericyte	0.84193593	0.76263857	1.6150928	0.9564304	1.3786992	2.2054193	1.9736238	1.0115474	0.9496282	1.314949	0.6205442	1.2171605	1.4479066	1.0639627	3.070565	1.6369337	1.9518062
ENSMUSG00000024620	Pdgfrb	pericyte	1.0435711	1.2449894	1.2552204	1	1.3300416	1.1322035	1.0181732	1.2458767	1.2186096	1.4204721	1.0459096	1.1856362	1.1261704	1.4657716	5.3997498	1.4753326	1.1323533
ENSMUSG00000021253	Tgfb3	pericyte	1.1531504	1.136408	1	1	1.0644703	1	1.735543	1.1723208	1	1.6868938	1	1.1376077	1.8338351	1.3934084	3.7632418	1.3954401	1.7064122
ENSMUSG00000038146	Notch3	pericyte	1	1.3488117	1.169927	1.3790225	1.6657648	1.6420443	1	1.2490114	1.0287925	1.0463358	1	1	1.2481724	1.0913157	3.9074752	1	1.1099414
ENSMUSG00000024304	Cdh2	pericyte	1	1.1566197	1	1.1991332	1.2909266	1	1	1	1.1269169	1.1475418	1	1	1	1	5.3981285	1.1454434	1
