44_final_HCR_geneCandidates																																								
PCA_HC_sub5005 ()*			EndothelialA	EndothelialB	EndothelialC	EpithelialA1	EpithelialA2	EpithelialB1	EpithelialB2	Intermediate Fibroblast 2	MatrixFibroA	MatrixFibroC	MyeloA	MyeloB	MyoFibroA	MyoFibroC	Pericyte	ProlifFibroA	ProlifFibroB	EndothelialA	EndothelialB	EndothelialC	EpithelialA1	EpithelialA2	EpithelialB1	EpithelialB2	Intermediate Fibroblast 2	MatrixFibroA	MatrixFibroC	MyeloA	MyeloB	MyoFibroA	MyoFibroC	Pericyte	ProlifFibroA	ProlifFibroB				
ENSMUSG00000029084	Cd38	endothelial	1.906391	2.7382796	2.0402145	1	1.0201272	1	1	1	1.0201676	1	1	1.3295556	1.1436356	1	1	1	1	2.2219	3.3014913	2.2217326	0.028854674	0.3610079	0.033697493	0.136484	0.06059675	0.2311093	0	0	0.8752171	0.5492255	0.03200899	0	0.11557484	0	952		952	
ENSMUSG00000070473	Cldn3	epithelial	1.0170637	1.0531273	1.2898812	8.800982	5.3623023	8.641327	7.3787055	1.1789621	1.086475	1.3116325	1.1053168	1.2688426	1.3465234	1.0903126	1.130012	1.1629878	1.1528859	0.21096227	0.40694854	0.85099804	8.814746	5.571305	8.676058	7.498504	0.8888479	0.38314366	1.2928556	0.5037646	1.0576588	0.9114288	0.39429906	0.6344965	0.66354024	0.6784712	1365		1365	
ENSMUSG00000023906	Cldn6	epithelial	1	1	1	2.602513	3.1715572	8.493406	6.766935	1	1	1	1	1	1	1	1	1.0491978	1	0.15098909	0	0.04080363	3.5035472	4.3350306	8.524971	6.8039784	0.2054082	0.067436606	0.1491	0.11817158	0.20810196	0.2928657	0.11787687	0.051603425	0.2689331	0.33022246	9074		9074	
ENSMUSG00000068876	Cgn	epithelial	1	1	1	6.486558	5.832007	2.5023315	4.2666054	1	1	1	1	1	1	1	1	1	1	0.13869487	0.04442304	0.0641827	6.5056	5.9012327	3.023306	4.867971	0.12026123	0.053329058	0.06452834	0.08700399	0.08229861	0.08082173	0.04307875	0.020443985	0.096501805	0.067637675	57530		57530	
ENSMUSG00000048915	Efna5	epithelial	1	1.3986646	1.2660187	2.5218399	2.1866932	4.9037876	1.7620863	1.4742444	1.3675606	1.3009568	1	1.7482734	1.4346056	1.8453861	1	1.3180754	1.6239038	0.07560921	1.2311982	0.8186324	3.210075	2.7732596	4.9401417	2.099157	1.2647004	1.050572	1.0380727	0.12702942	1.705911	1.2447715	2.1486533	0.06920045	0.98148113	1.6055492	1946		1946	
ENSMUSG00000036585	Fgf1	epithelial	1.4070352	1	1.0936097	2.830702	2.5945568	2.7508862	2.3363118	1	1	1	1	1	1	1	1	1.0501244	1.1087438	1.3100951	0	0.24928455	4.0492067	3.1487703	2.860017	2.703398	0.005985095	0.020091461	0.014599215	0	0	0.01266367	0	0	0.13329716	0.37778568	2246		2246	
ENSMUSG00000031145	Prickle3	epithelial	1.9714888	1.3678819	1.591352	4.9849463	1	4.845452	2.544349	1.1640579	1.0296174	1.0963085	1	1.9039187	1	1.694628	1.3781005	1.2172596	1.1251566	2.270341	1.047944	1.529576	5.0024443	0.08862705	4.8574324	2.910395	0.51868767	0.19470386	0.47856182	0.025968293	1.971738	0.08572453	1.7510655	1.1516799	0.7008602	0.49723953	4007		4007	
ENSMUSG00000001496	Nkx2-1	epithelial	1.029135	1.0177585	1.0131341	3.417385	1.2315135	1.7316339	2.9731338	1	1	1.0178564	1	1	1	1.1174666	1.0928227	1	1.0378761	0.15728545	0.15002733	0.10656882	4.0370665	0.6651796	1.8033203	3.3607583	0.2799027	0	0.51637304	0.15559526	0.001526435	0.23177549	0.43068564	0.5278008	0.15358958	0.2210905	7080		7080	
ENSMUSG00000037016	Frem2	epithelial	1	1	1.0441086	1.3961258	1.172778	2.62797	2.8032827	1	1	1	1	1	1.7203603	1	1	1.0374588	1	0.03728231	0.059529062	0.19191995	1.2901866	0.54109114	3.093645	3.1152236	0.0310201	0.025721978	0.026478246	0.030691864	0.13197403	1.6423862	0.08250582	0.032766234	0.16061386	0.12192271	341640		341640	
ENSMUSG00000026235	Epha4	epithelial	1.2230318	1	1.4607568	1.0644779	1.1827197	2.1656775	2.9108503	1	1	1.1643127	1	1	1.0757047	1.0287395	1.3854316	1.2633955	1.3296992	0.7456541	0.024033751	1.2617497	0.35795438	0.61287194	2.4239318	3.1997705	0.024088006	0.0875105	0.47157156	0.12745818	0.10468138	0.43409133	0.22983971	1.0353965	0.78675675	0.9212321	2043		2043	
ENSMUSG00000028040	Efna4	epithelial	1.2872844	1.233047	1	1	1	2.3988497	1.9420173	1	1.0418026	1.2521722	1.3680274	1.0235198	1	1.2735996	1.8372642	1.1820532	1.2635134	0.9794518	0.576188	0	0.12834363	0	2.8877244	2.1595628	0	0.12672667	0.68952584	0.8756273	0.22465245	0.07022028	0.9449964	1.8437207	0.5261281	0.67815334	1945		1945	
ENSMUSG00000029134	Plb1	epithelial	1	1	1	1.6602868	1.4771495	3.533557	1.7643538	1	1	1	1	1	1	1	1	1	1	0.055723123	0	0	1.8996452	1.1280985	4.0607724	1.7307842	0	0	0	0	0.081271194	0	0	0	0	0.07909326	151056		151056	
ENSMUSG00000027962	Vcam1	pan-fibroblast	0.4498596	0.753369	1.4424294	0.4498596	0.9907884	0.4498596	0.78514165	1.9833988	1.7159897	3.367949	0.73394644	0.8225013	0.93590266	0.863847	0.72053075	1.0828792	1.9106846	0.25519457	1.7690998	4.082471	0.16001676	2.6242197	0.29306749	1.983504	5.4384375	4.8472967	7.501895	2.0930738	1.9537235	2.7184691	2.2802656	1.6043761	3.0499165	4.565991	7412		7412	
ENSMUSG00000037820	Tgm2	matrix fibroblast	1.625521	1.0254718	1.7433234	1	1.0510426	1.4229695	1.3200046	1.7519499	1.9353501	2.1254804	1	1	1.6408819	1.4985063	1.1769567	1.3984964	1	1.7582347	0.31386447	1.8382275	0	0.38213181	1.0541029	0.8996493	1.7871895	2.255683	2.3150153	0.060755476	0.1590716	1.5787556	1.4196302	0.45168152	1.0394182	0.018621184	7052		7052	
ENSMUSG00000022687	Boc	matrix fibroblast	1.183854	1.3093114	1.2382368	1	1.3546048	1	1.2377896	2.4223957	1.7485497	1.7554588	1	1.3963096	1.5415454	1.5548741	1.5162656	1.5974104	1.4819713	0.71099204	0.9336971	0.7957062	0.049486518	0.8857725	0.33350307	0.70080143	2.7827568	1.8735656	2.159491	0.20671082	1.25495	1.1919984	1.6184368	1.2411001	1.505063	1.4365171	91653		91653	
ENSMUSG00000054555	Adam12	matrix fibroblast	1	1.1190972	1.363958	1	1.668218	1	1.0634125	2.4328973	1.22684	2.4633822	1	1.3984605	1.3407943	1.1036706	2.247152	1.4925169	2.0834236	0.14373869	0.48579758	0.93780583	0.038470652	1.4848366	0.018141806	0.25767016	2.7217398	0.8086804	2.6678355	0	1.1322746	0.87362146	0.43978155	2.2255518	1.2630001	2.3996372	8038		8038	
ENSMUSG00000005320	Fgfr4	matrix fibroblast	1.1116891	1	1.311459	1	1.1649765	1.302392	1.1194446	1.1590103	2.00281	2.3708494	1	1.2282529	1.3473431	1.4326489	1.0094153	1.4359112	1	0.5705997	0	0.87757266	0	0.48177242	0.78019005	0.4364999	0.5881417	2.3458745	2.390299	0.23520523	0.55907357	1.0808123	1.1787469	0.2095942	1.1338712	0.3164686	2264		2264	
ENSMUSG00000025491	Ifitm1	matrix fibroblast	1.1636965	1.4989175	1.8973641	1	1.5705898	1	1.2981886	1.0670602	5.414827	1.2240539	1	1.9161129	1	1.4885628	3.8275278	1.3295662	1.0636178	0.4586085	1.281857	2.1342192	0	1.3137015	0	0.92002904	0.24017835	6.745837	0.59605443	0	2.4724762	0	1.3788831	4.630739	0.9042876	0.24130288	8519		8519	
ENSMUSG00000038156	Spon1	matrix fibroblast	1.0350839	1.0601332	1.4165455	1	1.7959971	1	1.1143011	1.403342	6.3524394	1.902005	1	1	2.1883857	1.2869383	1.276184	1.3603704	1	0.5933199	0.38214475	1.4276793	0.049018923	2.147904	0.10572297	0.4922267	1.2613767	6.693709	2.170104	0.11594329	0	2.547423	0.944682	0.84421766	1.1066232	0.12134821	10418		10418	
ENSMUSG00000043248	AC175032.2	matrix fibroblast	1	1.3876907	1.1610881	1	1.2441481	1	1.0500485	1.5513686	2.9246337	1	1	1	2.037317	1.1753768	1	1.081661	1.4164286	0	0.9087865	0.48974094	0	0.7343777	0	0.15556441	1.4507093	3.2177076	0.054444846	0	0	2.3718822	0.5567347	0	0.35524854	1.2170045	ENSMUSG00000043248			
ENSMUSG00000029335	Bmp3	matrix fibroblast	1	1.0624871	1	1.0811663	1.4141747	1	1	1.1530889	2.134439	1.2362489	1	1	1.0578635	1	1.0859547	1	1	0	0.2448335	0.037882306	0.34159386	1.1708337	0	0.14651133	0.49206725	2.5208628	0.88825035	0	0.06402044	0.26495868	0.077487625	0.30205673	0.030087695	0.11199016	651		651	
ENSMUSG00000005803	Sqrdl	matrix fibroblast	1.600035	1.1751293	2.0112677	1	1	1	1.0496178	1.2727059	2.3458452	1.0108224	2.7114341	1	1.4461547	1.2132233	1	1.1729269	1	1.5915662	0.62042516	2.349937	0	0.09145368	0	0.2089892	0.7326788	2.776095	0.17993695	3.7244925	0	1.5061322	0.65796536	0	0.55640453	0	58472		58472	
ENSMUSG00000035493	Tgfbi	myo fibroblast	1.2195894	1.6444201	1.6350675	1	1.2292421	1.6073006	1.3856378	1.0813682	1.0044624	1.2811308	3.2972467	1.97724	5.574759	8.050559	1.0778959	2.992925	1.5327916	0.9639036	1.7040979	2.0240245	0.10388851	0.670675	1.4880638	1.2204748	0.3307615	0.20238604	1.008325	3.8528323	2.12703	5.902175	8.083684	0.32321858	4.222955	1.609814	7045		7045	
ENSMUSG00000022122	Ednrb	myo fibroblast	1.4528556	1.4839773	1.4841862	0.3377262	0.7419618	0.3377262	0.45318508	0.61803734	0.76757514	0.4477924	0.89216197	1.460398	3.3390384	3.006039	0.557658	1.4011731	2.0226512	5.2250795	5.235825	5.436103	0.41366374	2.3786707	0.1970356	1.1134595	2.09994	3.0322778	1.2885435	3.4909291	5.13214	9.8981085	8.978511	1.7066212	5.518312	6.099706	1910		1910	
ENSMUSG00000057967	Fgf18	myo fibroblast	1	1.1004429	1.1253998	1	1	1	1	1	1	1	1	1	2.743204	2.1787062	1	1.374246	1	0	0.2605253	0.49421367	0	0	0	0.06400321	0	0	0	0	0.3743227	3.3415368	2.5658183	0	0.9895183	0	8817		8817	
ENSMUSG00000049265	Kcnk3	myo fibroblast	1	1.4942561	1.978022	1	1.9991598	1	1.2291437	1.9765507	1.1423694	1.7124966	1	1	3.8995762	2.4469116	3.9916012	2.5575416	2.6227124	0.07434958	1.661333	2.3942935	0	2.4972427	0.027230758	0.6532099	2.1142826	0.5852752	1.8245792	0.06257426	0.16646953	4.832035	3.12831	4.8505487	3.2127964	3.5140336	3777		3777	
ENSMUSG00000056481	Cd248	myo fibroblast	1	1.1765485	1.563056	1	1.011337	1	1	1.3022858	1.0555018	1.1130657	1	1.5215213	2.2079134	5.8272357	3.7082567	1.989572	2.005844	0.022295829	0.7179208	1.428936	0	0.27180105	0	0.09727923	1.0383677	0.1835272	0.4487167	0.25341517	1.238794	2.4085102	5.897171	3.8284001	2.2993157	2.1885986	57124		57124	
ENSMUSG00000019929	Dcn	pericyte	1	1.1734632	1.2075282	1	1.3810915	1	1	1.6499627	1.1718162	1	1	1	2.5414944	1.7931015	2.2209163	1.7713608	1.3336945	0.07522716	0.6500531	1.0978457	0.4815003	1.2145346	0.25962383	0.23474765	2.0074103	0.7398368	0.23729849	0	0.19191168	3.001489	2.0026727	2.940902	2.019509	1.1705692	1634		1634	
ENSMUSG00000039239	Tgfb2	pericyte	0.84193593	0.76263857	1.6150928	0.9564304	1.3786992	2.2054193	1.9736238	1.0115474	0.9496282	1.314949	0.6205442	1.2171605	1.4479066	1.0639627	3.070565	1.6369337	1.9518062	0.9026479	0.96167684	3.0769486	1.4107909	2.4610927	4.194391	3.761801	1.6593041	1.4834358	2.3263097	0.06669025	2.37252	2.3861847	2.0492675	5.252643	3.058332	4.0470643	7042		7042	
ENSMUSG00000024620	Pdgfrb	pericyte	1.0435711	1.2449894	1.2552204	1	1.3300416	1.1322035	1.0181732	1.2458767	1.2186096	1.4204721	1.0459096	1.1856362	1.1261704	1.4657716	5.3997498	1.4753326	1.1323533	0.34721124	0.9397641	0.8196753	0.3754142	1.1672596	0.61403054	0.3382014	0.8532496	0.80611545	1.1681954	0.31749845	0.5904616	0.5968402	1.5025328	5.6109757	1.3271387	0.46002024	5159		5159	
ENSMUSG00000021253	Tgfb3	pericyte	1.1531504	1.136408	1	1	1.0644703	1	1.735543	1.1723208	1	1.6868938	1	1.1376077	1.8338351	1.3934084	3.7632418	1.3954401	1.7064122	0.4647637	0.4954693	0.048166804	0	0.27526727	0	1.7434082	0.66986436	0.030079333	1.5702944	0	0.42301685	1.9325757	0.9722321	4.3690653	1.0251694	1.8150386	7043		7043	
ENSMUSG00000038146	Notch3	pericyte	1	1.3488117	1.169927	1.3790225	1.6657648	1.6420443	1	1.2490114	1.0287925	1.0463358	1	1	1.2481724	1.0913157	3.9074752	1	1.1099414	0.00618088	0.8383831	0.47597477	1.0042652	1.5431423	1.3612909	0.1272698	0.6219821	0.17621523	0.23999736	0	0.021965588	0.60590255	0.29460603	4.11083	0.11489304	0.68074816	4854		4854	
ENSMUSG00000024304	Cdh2	pericyte	1	1.1566197	1	1.1991332	1.2909266	1	1	1	1.1269169	1.1475418	1	1	1	1	5.3981285	1.1454434	1	0.009768225	0.4505092	0.020934073	0.51690364	0.9406841	0.05201537	0.036164325	0.04368099	0.42721856	0.53452533	0.023280337	0.047787443	0.06595625	0.08903709	5.580165	0.41081426	0.014807498	1000		1000	
